date,rl3_ai,spy_buy_hold,current_universe_equal_weight,simple_60d_momentum
2025-07-11,100000.0,99920.0,100000.0,100000.0
2025-07-14,100271.33322834638,100110.6756632927,100263.3759957164,100257.65625357749
2025-07-15,99846.10299307716,99682.87161599846,98965.61921556554,100169.35358940884
2025-07-16,99882.8999282154,100016.14862838924,99388.83310740159,100051.67554734956
2025-07-17,100616.61799308255,100628.20129162396,100159.19636317543,100779.71571769667
2025-07-18,101022.78811638626,100554.51766567201,100223.285597321,101526.97789403869
2025-07-21,100634.02207462038,100745.18344119957,99902.04652957528,101039.8934106051
2025-07-22,100449.75419781294,100759.59980279885,101052.85423830042,100571.29406345748
2025-07-23,101425.39499719696,101616.79982757765,101845.3969401648,102387.25134957959
2025-07-24,100874.56611526878,101650.43800464265,101586.90452231122,101275.75527190279
2025-07-25,101681.10296273818,102079.85375765753,102169.47100470174,101945.55903281596
2025-07-28,102225.59772688628,102054.22467036989,101661.18184449204,102656.06078808065
2025-07-29,101998.14289297175,101785.0401517285,101579.17368489862,102593.84127976648
2025-07-30,102745.88672277317,101656.85516422972,101022.07198775446,103339.2173964227
2025-07-31,102906.5830186387,101275.52361317464,100134.42021640054,103832.84332079452
2025-08-01,101700.74383466385,99615.57548633812,99030.10118423909,102405.42252072235
2025-08-04,102692.74925117391,101129.70874040044,100307.56639931966,103187.83220545709
2025-08-05,102218.7800749128,100616.97867817046,99945.36418304768,102261.99500211049
2025-08-06,101689.13323954429,101387.6805333535,99775.35399703145,101349.37604251168
2025-08-07,101670.64157820315,101302.74463065258,99768.47193940356,101791.48424074618
2025-08-08,101691.8416821859,102092.6781890665,99982.5260977437,101832.46286644202
2025-08-11,101467.3411818689,101890.7799123203,99663.25251278629,101752.7748124004
2025-08-12,102945.76267351216,102975.51718889807,101042.99788053053,102852.1334146969
2025-08-13,103715.23940023503,103328.01601675458,102356.35944194562,102362.5344711571
2025-08-14,103282.12927287917,103337.62692448744,101667.33015909785,101135.36280859087
2025-08-15,103382.06883386192,103095.69308661947,101449.87863399673,101103.24759160508
2025-08-18,103607.33562124868,103073.25774747763,101405.12468992407,101376.46729272182
2025-08-19,103415.87756251491,102514.06507677367,101816.17618326544,99807.69037661591
2025-08-20,102935.56013282693,102241.67692222133,101757.58025669993,99402.05447384398
2025-08-21,102687.15723609379,101831.5027602025,101448.25301201113,99431.89576869762
2025-08-22,104799.89669499427,103395.31214641493,103386.69251028472,100405.46887398146
2025-08-25,104531.85099901447,102940.25741834726,102596.2984148529,100462.0415066013
2025-08-26,104570.84521491904,103371.26510155246,102874.46513717817,102616.84073614406
2025-08-27,105019.72898221877,103606.81144312883,103263.01107946898,103232.69879538601
2025-08-28,105142.76688538311,103973.71674481947,103266.01360324856,104008.91216471381
2025-08-29,104423.42080540213,103353.64510404221,103116.44700688701,103205.6478108945
2025-09-02,103710.31703130137,102587.76847825592,102431.0491073775,103061.48547675267
2025-09-03,103460.0073992315,103143.74762528378,102242.11010992895,103305.40030339494
2025-09-04,103978.02099305621,104005.76299169415,103080.09150303768,104293.7719030752
2025-09-05,104017.66513350312,103704.53222617808,103122.8693992772,104585.69215039414
2025-09-08,103933.02547865536,103959.29049545502,103262.05665364348,106136.51805926926
