date,rl3_ai,spy_buy_hold,point_in_time_equal_weight,simple_60d_momentum
2025-07-11,100000.0,99920.0,100000.0,100000.0
2025-07-14,100000.0,100110.6756632927,100220.34385321438,100467.40948893994
2025-07-15,100000.0,99682.87161599846,98829.28880671777,100194.84381243539
2025-07-16,100000.0,100016.14862838924,99234.545341533,99804.84702948945
2025-07-17,100000.0,100628.20129162396,99965.07822107572,100295.65871980388
2025-07-18,100000.0,100554.51766567201,99968.31988111617,101120.63513177549
2025-07-21,100000.0,100745.18344119957,99638.40523639182,100900.54977670278
2025-07-22,100000.0,100759.59980279885,100933.63390440593,100584.05256068788
2025-07-23,100000.0,101616.79982757765,101716.67432376268,102361.29323127324
2025-07-24,100000.0,101650.43800464265,101367.50203215292,101790.4278861066
2025-07-25,100000.0,102079.85375765753,101871.16341325494,102356.49015113646
2025-07-28,100000.0,102054.22467036989,101274.90024175652,102878.08788954005
2025-07-29,100000.0,101785.0401517285,101183.60346089893,102676.0850727126
2025-07-30,100000.0,101656.85516422972,100515.9650564537,103697.99891447792
2025-07-31,100000.0,101275.52361317464,99550.10551587075,103694.1326606497
2025-08-01,100000.0,99615.57548633812,98516.82706992555,102540.49604391369
2025-08-04,100000.0,101129.70874040044,99740.95212093675,103603.80369507594
2025-08-05,100000.0,100616.97867817046,99433.13228594317,102880.0738911361
2025-08-06,100000.0,101387.6805333535,99216.89512999578,101937.05374896935
2025-08-07,100000.0,101302.74463065258,99141.31349330986,102098.5069668626
2025-08-08,100000.0,102092.6781890665,99424.83990511879,102009.57100865907
2025-08-11,100000.0,101890.7799123203,99106.84132391692,101998.32113026935
2025-08-12,100000.0,102975.51718889807,100458.52180402,103280.20279216311
2025-08-13,100000.0,103328.01601675458,101860.10596356317,103641.35610157535
2025-08-14,100000.0,103337.62692448744,101230.08492249019,102223.30422112907
2025-08-15,100000.0,103095.69308661947,101033.25439855918,102065.99790267232
2025-08-18,100000.0,103073.25774747763,100975.79832392106,101968.39975112869
2025-08-19,100000.0,102514.06507677367,101506.6452733687,100722.61901370365
2025-08-20,100000.0,102241.67692222133,101431.52196954162,100435.05160190875
2025-08-21,100000.0,101831.5027602025,101049.05634022524,100308.49201582439
2025-08-22,100000.0,103395.31214641493,103051.76442098558,101783.18756245825
2025-08-25,100000.0,102940.25741834726,102229.29307142635,101745.12492278338
2025-08-26,100000.0,103371.26510155246,102281.8893602731,102355.97256346223
2025-08-27,100000.0,103606.81144312883,102671.59199806814,102697.60447918186
2025-08-28,100000.0,103973.71674481947,102604.11876311908,103332.77278879304
2025-08-29,100000.0,103353.64510404221,102540.24596808608,102034.67963870606
2025-09-02,100000.0,102587.76847825592,101789.79585226564,101777.14124721756
2025-09-03,100000.0,103143.74762528378,101596.80074981583,101444.73278629532
2025-09-04,100000.0,104005.76299169415,102308.44255493922,101874.42680393622
2025-09-05,100000.0,103704.53222617808,102449.71102891247,102118.16644644458
2025-09-08,100000.0,103959.29049545502,102401.77014612165,102412.28533681903
2025-09-09,100000.0,104199.64229089781,102082.11228848128,102165.57587504527
2025-09-10,100000.0,104500.85328088359,101872.653615654,104443.03872998543
2025-09-11,100000.0,105369.29569464618,103440.25666795266,105042.64117726489
2025-09-12,100000.0,105334.04581186053,102651.52018770829,103627.47596084214
2025-09-15,100000.0,105894.82052498967,102423.53435760416,104526.79482885702
2025-09-16,100000.0,105749.01553998064,102184.28728512941,104146.26701681259
2025-09-17,100000.0,105617.6466921012,102305.04968567916,103835.5906296543
2025-09-18,100000.0,106111.13516333516,102946.1365632943,104902.01646901705
2025-09-19,100000.0,106636.68965697411,102732.29308345608,105418.5750772767
2025-09-22,100000.0,107141.19309859326,102812.15709113325,106061.82513474544
2025-09-23,100000.0,106557.96327079197,102905.38744556632,105638.41680881748
2025-09-24,100000.0,106218.94146684482,102692.50632957571,104759.86420561477
2025-09-25,100000.0,105728.90382565075,101802.00675991806,103904.04521735923
2025-09-26,100000.0,106334.61843141966,102846.58840167572,104668.7103396431
2025-09-29,100000.0,106633.476133298,103120.2374655059,105479.07431162895
2025-09-30,100000.0,107035.13692951642,103391.16073172654,105566.09304435541
2025-10-01,100000.0,107399.86692287246,103627.4296933558,106975.0938421643
2025-10-02,100000.0,107523.572752755,103871.7971708477,107627.37316774849
2025-10-03,100000.0,107521.99071032985,104235.38209546861,106902.53319410735
2025-10-06,100000.0,107907.58388816772,104226.54196312233,107668.57564068535
2025-10-07,100000.0,107507.52490990477,103717.85056325811,106394.94053813611
2025-10-08,100000.0,108148.5882761109,103998.73968515993,107272.6749960111
2025-10-09,100000.0,107835.2845493378,103151.04275273284,106523.36663882087
2025-10-10,100000.0,104920.72734052168,100888.13082456357,104124.31066741441
2025-10-13,100000.0,106530.64337566245,101881.791633395,105938.44556852843
2025-10-14,100000.0,106400.50061066252,102803.40995209334,105913.59456812916
2025-10-15,100000.0,106872.86881552055,102939.37974462788,107450.17527991821
2025-10-16,100000.0,106145.04031005941,102011.59837049404,107504.57733079093
2025-10-17,100000.0,106747.55127991737,102513.81131880068,106650.72257584392
2025-10-20,100000.0,107857.77921507056,103522.9919853871,107231.37083159464
2025-10-21,100000.0,107856.16750934994,104043.6622703721,106613.75993686613
2025-10-22,100000.0,107295.42245951627,103533.92119465089,106104.25840116029
2025-10-23,100000.0,107931.69025962113,103975.11600449032,107357.26181837036
2025-10-24,100000.0,108813.7679015356,104166.01664452965,107951.50544011027
2025-10-27,100000.0,110097.51622743365,104640.90910176825,108488.62345920668
2025-10-28,100000.0,110389.9369941946,103672.46985186677,107998.33744491983
2025-10-29,100000.0,110442.95519096786,102436.56124498778,109714.91239827553
2025-10-30,100000.0,109228.30256798878,102106.16690921785,109160.95172211723
2025-10-31,100000.0,109586.59562622744,102301.27711214988,109788.16071849198
2025-11-03,100000.0,109792.2512537334,101976.46182881325,110152.9350780049
